Playback mode: Real-time x5
Flight log started
t = 115159 ms, altitude = 113.13, az = 1, temperature = 17.8, battery = 12.2616, state = Descent
t = 115534 ms, altitude = 111.32, az = 1.2, temperature = 17.8, battery = 12.2615, state = Descent
t = 115906 ms, altitude = 109.59, az = 1.06, temperature = 17.76, battery = 12.2614, state = Descent
t = 116279 ms, altitude = 107.85, az = 1.09, temperature = 17.76, battery = 12.2612, state = Descent
t = 116649 ms, altitude = 106.13, az = 1.17, temperature = 17.77, battery = 12.2611, state = Descent
t = 117022 ms, altitude = 104.33, az = 1.08, temperature = 17.75, battery = 12.261, state = Descent
t = 117398 ms, altitude = 102.63, az = 0.99, temperature = 17.73, battery = 12.2609, state = Descent
t = 117770 ms, altitude = 100.84, az = 0.85, temperature = 17.72, battery = 12.2607, state = Descent
t = 118142 ms, altitude = 99.02, az = 0.97, temperature = 17.71, battery = 12.2606, state = Descent
t = 118514 ms, altitude = 97.4, az = 1.02, temperature = 17.69, battery = 12.2605, state = Descent
t = 118886 ms, altitude = 95.76, az = 1.19, temperature = 17.69, battery = 12.2604, state = Descent
t = 119263 ms, altitude = 94.13, az = 1.11, temperature = 17.7, battery = 12.2602, state = Descent
t = 119635 ms, altitude = 92.5, az = 0.98, temperature = 17.71, battery = 12.2601, state = Descent
t = 120007 ms, altitude = 90.88, az = 0.84, temperature = 17.71, battery = 12.26, state = Descent
t = 120380 ms, altitude = 89.18, az = 0.99, temperature = 17.7, battery = 12.2599, state = Descent
t = 120753 ms, altitude = 87.39, az = 1.03, temperature = 17.68, battery = 12.2597, state = Descent
t = 121127 ms, altitude = 85.54, az = 0.99, temperature = 17.64, battery = 12.2596, state = Descent
t = 121499 ms, altitude = 83.63, az = 1.02, temperature = 17.62, battery = 12.2595, state = Descent
t = 121871 ms, altitude = 81.81, az = 1.15, temperature = 17.59, battery = 12.2594, state = Descent
t = 122243 ms, altitude = 80, az = 1.04, temperature = 17.56, battery = 12.2593, state = Descent
t = 122614 ms, altitude = 78.13, az = 0.88, temperature = 17.56, battery = 12.2591, state = Descent
t = 122989 ms, altitude = 76.28, az = 0.9, temperature = 17.54, battery = 12.259, state = Descent
t = 123362 ms, altitude = 74.39, az = 0.97, temperature = 17.53, battery = 12.2589, state = Descent
t = 123734 ms, altitude = 72.56, az = 1.17, temperature = 17.52, battery = 12.2588, state = Descent
t = 124105 ms, altitude = 70.61, az = 1.32, temperature = 17.52, battery = 12.2586, state = Descent
t = 124478 ms, altitude = 68.58, az = 1.13, temperature = 17.5, battery = 12.2585, state = Descent
t = 124853 ms, altitude = 66.58, az = 1.07, temperature = 17.47, battery = 12.2584, state = Descent
t = 125225 ms, altitude = 64.64, az = 1.12, temperature = 17.44, battery = 12.2583, state = Descent
t = 125597 ms, altitude = 62.74, az = 1.04, temperature = 17.44, battery = 12.2581, state = Descent
t = 125969 ms, altitude = 60.82, az = 0.96, temperature = 17.43, battery = 12.258, state = Descent
t = 126341 ms, altitude = 59, az = 0.98, temperature = 17.43, battery = 12.2579, state = Descent
t = 126727 ms, altitude = 57.2, az = 0.99, temperature = 17.43, battery = 12.2578, state = Descent
t = 127098 ms, altitude = 55.33, az = 1.03, temperature = 17.44, battery = 12.2576, state = Descent
t = 127471 ms, altitude = 53.46, az = 1.16, temperature = 17.44, battery = 12.2575, state = Descent
t = 127843 ms, altitude = 51.64, az = 1.05, temperature = 17.44, battery = 12.2574, state = Descent
t = 128216 ms, altitude = 49.71, az = 1.06, temperature = 17.42, battery = 12.2573, state = Descent
t = 128591 ms, altitude = 47.92, az = 0.89, temperature = 17.4, battery = 12.2571, state = Descent
t = 128963 ms, altitude = 46.18, az = 0.99, temperature = 17.39, battery = 12.257, state = Descent
t = 129336 ms, altitude = 44.47, az = 1.04, temperature = 17.38, battery = 12.2569, state = Descent
t = 129708 ms, altitude = 42.78, az = 1, temperature = 17.39, battery = 12.2568, state = Descent
t = 130079 ms, altitude = 41, az = 0.89, temperature = 17.37, battery = 12.2566, state = Descent
t = 130456 ms, altitude = 39.14, az = 1.21, temperature = 17.35, battery = 12.2565, state = Descent
t = 130827 ms, altitude = 37.35, az = 1.12, temperature = 17.36, battery = 12.2564, state = Descent
t = 131200 ms, altitude = 35.56, az = 0.97, temperature = 17.36, battery = 12.2563, state = Descent
t = 131572 ms, altitude = 33.69, az = 1.05, temperature = 17.35, battery = 12.2561, state = Descent
t = 131944 ms, altitude = 31.8, az = 1.01, temperature = 17.33, battery = 12.256, state = Descent
t = 132320 ms, altitude = 30.08, az = 1.05, temperature = 17.32, battery = 12.2559, state = Descent
